# field	phot_id	z_best_s	use_phot	use_zgrism	z_best	z_best_l95	z_best_l68	z_best_u68	z_best_u95
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos	82	3	1	0	4.8395	0.7510	4.6220	5.0300	5.3070
cosmos	83	3	1	0	0.9554	0.9200	0.9290	0.9820	0.9950
cosmos	84	3	1	0	1.4515	1.2550	1.3250	1.5210	1.5570
cosmos	85	3	1	0	4.3797	4.1630	4.2570	4.5030	4.5960
cosmos	86	3	1	0	1.5076	1.3930	1.4430	1.5680	1.6190
cosmos	87	3	1	0	1.5798	1.4080	1.4920	1.6720	1.7840
cosmos	88	3	0	0	0.9093	0.8300	0.8570	0.9330	1.0410
cosmos	89	3	1	0	2.3727	2.2300	2.3020	2.4460	2.4990
cosmos	90	3	1	0	1.1539	1.0610	1.0950	1.2280	1.2920
cosmos	91	3	1	0	1.3945	1.2390	1.2960	1.4940	1.5980
cosmos	92	3	1	0	0.7551	0.7200	0.7300	0.7810	0.7900
cosmos	93	3	1	0	2.2892	2.0140	2.1820	2.4330	2.6070
cosmos	94	3	1	0	4.1163	3.5200	3.8950	4.4930	4.9330
cosmos	95	3	1	0	0.6558	0.1110	0.1680	1.0060	2.6320
cosmos	96	3	1	0	3.5634	3.4710	3.5010	3.6310	3.6570
cosmos	97	3	1	0	1.7164	1.0140	1.2860	2.0760	2.3020
cosmos	98	3	1	0	0.9840	0.9430	0.9610	1.0100	1.0160
cosmos	99	3	1	0	2.0192	1.5240	1.8380	2.2260	2.4000
cosmos	100	3	1	0	0.8377	0.7930	0.8110	0.8590	0.9520
cosmos	101	3	1	0	1.1509	0.7590	0.9460	1.3200	1.7640
cosmos	102	3	1	0	4.3960	0.3310	0.6010	4.5500	4.8230
cosmos	103	3	1	0	1.2215	1.1850	1.1950	1.2530	1.2700
cosmos	104	3	1	0	0.9891	0.8540	0.9060	1.0480	1.0740
cosmos	105	3	1	0	1.2927	0.7490	0.8480	1.9830	2.2410
cosmos	106	3	1	0	1.2449	1.1320	1.1890	1.2890	1.3090
cosmos	107	3	1	0	1.8911	0.6410	1.3340	2.3100	2.4290
cosmos	108	3	1	0	1.3414	1.2550	1.2910	2.2750	2.3810
cosmos	109	3	1	0	2.5900	2.5570	2.5750	2.7190	2.8120
cosmos	110	3	0	0	0.5466	0.5130	0.5280	0.5690	0.5820
cosmos	111	3	1	0	0.0875	0.0590	0.0710	2.2930	2.3820
cosmos	112	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	113	3	1	0	4.8791	4.7510	4.8060	4.9690	5.0180
cosmos	114	3	1	0	1.2465	0.2010	0.8450	1.3770	1.4190
cosmos	115	3	1	0	1.4940	1.2850	1.3750	1.6170	1.7150
cosmos	116	3	1	0	2.1279	2.0390	2.0700	2.1850	2.2440
cosmos	117	3	1	0	1.0731	1.0220	1.0450	1.1030	1.1180
cosmos	118	3	1	0	1.0693	0.8870	1.0070	1.1680	1.2170
cosmos	119	3	1	0	1.7360	1.6920	1.7010	1.7690	1.7950
cosmos	120	3	1	0	4.1590	3.9960	4.0720	4.2470	4.3110
cosmos	121	3	1	0	1.3164	0.9940	1.2000	1.4210	1.7830
cosmos	122	3	1	0	2.5873	2.4710	2.5200	2.6530	2.7000
cosmos	123	3	1	0	0.8743	0.6610	0.7830	0.9520	1.0350
cosmos	124	3	1	0	3.4844	3.3610	3.4090	3.5570	3.6170
cosmos	125	3	1	0	0.9557	0.9160	0.9270	0.9840	1.0040
cosmos	126	3	1	0	1.5976	1.2000	1.3510	1.9110	2.2080
cosmos	127	3	1	0	0.4275	0.1260	0.2570	0.5550	0.6860
cosmos	128	3	1	0	1.7494	0.2060	1.1560	2.3300	2.7980
cosmos	129	3	1	0	1.9362	1.8380	1.8750	1.9970	2.0580
cosmos	130	3	1	0	1.3763	1.1240	1.2110	1.5280	2.0490
cosmos	131	3	1	0	0.3705	0.3430	0.3540	0.3890	0.3950
cosmos	132	3	1	0	0.2089	0.1910	0.1950	0.2290	2.7580
cosmos	133	3	1	0	0.8457	0.7360	0.7940	0.9110	0.9580
cosmos	134	3	1	0	2.1616	2.0670	2.1020	2.2180	2.2630
cosmos	135	3	1	0	3.5746	3.4710	3.5100	3.6430	3.6890
cosmos	136	3	1	0	1.2600	1.2230	1.2340	1.2880	1.2940
cosmos	137	3	1	0	1.7013	1.6420	1.6650	1.7400	1.7660
cosmos	138	3	1	0	0.8757	0.8450	0.8510	0.8980	0.9230
cosmos	139	3	1	0	2.7339	2.5180	2.5710	2.9390	3.0160
cosmos	140	3	1	0	1.2632	1.1440	1.1870	1.3620	1.4780
cosmos	141	3	1	0	1.1424	0.7410	0.9320	1.5930	1.7340
cosmos	142	3	1	0	1.6228	1.5720	1.5920	1.6560	1.6640
cosmos	143	3	1	0	0.9263	0.7670	0.8770	0.9770	1.0090
cosmos	144	3	1	0	2.5061	2.2750	2.3960	2.6070	2.6650
cosmos	145	3	1	0	1.6339	1.4570	1.5060	1.7350	1.7660
cosmos	146	3	1	0	3.6034	3.6690	3.6930	4.0140	4.2190
cosmos	147	3	1	0	0.9535	0.9060	0.9260	0.9830	1.0080
cosmos	148	3	1	0	1.8184	1.2820	1.4750	2.1540	2.2620
cosmos	149	3	1	0	0.9790	0.9400	0.9530	1.0080	1.0170
cosmos	150	3	1	0	0.1357	0.1140	0.1240	0.1510	0.1550
cosmos	151	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	152	3	1	0	0.9323	0.9010	0.9070	0.9550	0.9730
cosmos	153	3	1	0	0.6872	0.3890	0.5990	0.7760	0.8560
cosmos	154	3	1	0	2.1665	1.9010	2.0890	2.2500	2.3240
cosmos	155	3	1	0	0.9722	0.9390	0.9460	0.9960	1.0150
cosmos	156	3	1	0	3.6052	3.4830	3.5310	3.6810	3.7320
cosmos	157	3	1	0	2.7081	2.4620	2.6060	2.8130	2.8670
cosmos	158	3	1	0	3.3527	0.3580	3.2460	3.4480	3.5280
cosmos	159	3	1	0	3.5116	3.4230	3.4480	3.5770	3.6040
cosmos	160	3	1	0	0.9652	0.8640	0.9150	1.0140	1.0490
cosmos	161	3	1	0	3.7855	3.6120	3.6900	3.8840	3.9760
cosmos	162	3	1	0	0.8220	0.3120	0.6170	1.0450	1.1560
cosmos	163	3	1	0	2.3216	2.2380	2.2700	2.3730	2.4110
cosmos	164	3	1	0	0.5934	0.4250	0.4940	0.6680	0.7210
cosmos	165	3	1	0	0.0391	0.0200	0.0290	1.7760	1.8140
cosmos	166	3	1	0	0.3738	0.3480	0.3580	0.3910	0.3950
cosmos	167	3	1	0	3.5505	3.3540	3.4500	3.6500	3.7300
cosmos	168	3	1	0	0.9661	0.9340	0.9430	0.9900	0.9960
cosmos	169	3	1	0	2.9267	2.7770	2.8400	3.0060	3.0510
cosmos	170	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	171	3	1	0	1.9251	1.8460	1.8740	1.9730	2.0300
cosmos	172	3	1	0	1.0271	0.9460	0.9750	1.0930	1.1260
cosmos	173	3	1	0	3.2948	0.6590	0.8710	3.4120	3.5010
cosmos	174	3	1	0	0.8548	0.6880	0.7480	0.9300	1.0140
cosmos	175	3	1	0	1.7308	0.1730	0.6210	3.3440	3.5990
