# field	phot_id	z_best_s	use_phot	use_zgrism	z_best	z_best_l95	z_best_l68	z_best_u68	z_best_u95
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos	8809	3	1	0	3.2062	3.0970	3.1370	3.2810	3.3340
cosmos	8810	3	1	0	0.7229	0.6500	0.6890	0.7570	0.7860
cosmos	8811	3	1	0	0.6684	0.6120	0.6370	0.7000	0.7460
cosmos	8812	3	1	0	0.3995	0.3700	0.3820	0.4190	0.4310
cosmos	8813	3	1	0	3.1338	3.0250	3.0670	3.2000	3.2530
cosmos	8814	3	1	0	0.8160	0.7470	0.7840	0.8490	0.8660
cosmos	8815	3	1	0	0.3312	0.2810	0.3060	0.3540	0.3680
cosmos	8816	3	1	0	0.4822	0.2620	0.4260	0.5540	0.6530
cosmos	8817	3	1	0	1.0069	0.1020	0.6640	1.2620	1.5500
cosmos	8818	3	1	0	0.8016	0.5390	0.7340	0.8910	0.9750
cosmos	8819	3	1	0	4.4467	3.9390	4.1940	4.6810	4.8320
cosmos	8820	3	1	0	0.8166	0.6060	0.6720	0.8310	0.8480
cosmos	8821	3	1	0	0.8838	0.7820	0.8370	0.9330	0.9590
cosmos	8822	2	1	1	1.2637	1.2536	1.2589	1.2668	1.2714
cosmos	8823	3	1	0	0.7608	0.6800	0.7230	0.8050	0.8470
cosmos	8824	3	0	0	0.0297	0.0100	0.0120	0.0500	0.0980
cosmos	8825	3	0	0	2.9247	2.8330	2.8670	2.9840	3.0210
cosmos	8826	3	1	0	2.9462	2.8550	2.8960	3.1740	3.2890
cosmos	8827	3	1	0	0.3399	0.1480	0.2670	0.3880	0.4070
cosmos	8828	3	1	0	1.1540	0.9000	1.0000	1.4280	1.6430
cosmos	8829	3	1	0	1.2721	1.2060	1.2350	1.3100	1.3400
cosmos	8830	3	1	0	1.7312	1.1910	1.4830	2.0050	2.3660
cosmos	8831	3	1	0	3.9800	3.8060	3.8810	4.0780	4.1370
cosmos	8832	2	1	1	0.4198	0.3737	0.4013	0.4365	0.4456
cosmos	8833	3	1	0	2.3249	1.8150	2.2110	2.4590	2.5590
cosmos	8834	3	0	0	0.7811	0.7550	0.7600	0.8020	0.8070
cosmos	8835	3	1	0	1.0793	0.9800	1.0100	1.1350	1.3770
cosmos	8836	3	1	0	2.6585	2.5090	2.5770	2.7480	2.8220
cosmos	8837	3	0	0	1.8340	1.2400	1.5910	2.0790	2.3480
cosmos	8838	3	1	0	1.5300	1.4430	1.4920	1.5710	1.5850
cosmos	8839	3	1	0	5.8521	1.5480	5.8150	5.9530	5.9600
cosmos	8840	3	1	0	0.7289	0.4070	0.6370	0.8280	0.9310
cosmos	8841	3	1	0	2.2090	0.3200	1.9280	2.4340	2.6390
cosmos	8842	3	1	0	1.5983	1.1770	1.4420	1.7620	1.9820
cosmos	8843	3	1	0	2.8077	2.7040	2.7460	2.8730	2.9170
cosmos	8844	2	1	1	1.6966	1.6867	1.6912	1.6988	1.7037
cosmos	8845	3	1	0	1.6280	1.4640	1.5690	1.6930	1.7670
cosmos	8846	3	1	0	2.9404	0.2930	0.3360	3.0060	3.0860
cosmos	8847	3	1	0	0.0990	0.0540	0.0780	0.1210	0.2520
cosmos	8848	3	1	0	2.6559	2.5600	2.5920	2.7250	2.7730
cosmos	8849	3	1	0	0.9425	0.4760	0.6730	1.2330	1.4100
cosmos	8850	2	1	1	2.8729	2.8549	2.8661	2.8998	2.9131
cosmos	8851	3	1	0	0.5807	0.5420	0.5570	0.6050	0.6220
cosmos	8852	3	1	0	1.8593	1.5250	1.7590	1.9600	2.0690
cosmos	8853	3	1	0	0.1651	0.1360	0.1490	0.4080	0.4300
cosmos	8854	2	1	1	1.0107	0.9642	1.0066	1.0182	1.0290
cosmos	8855	3	1	0	0.6977	0.5350	0.6380	0.7650	0.8600
cosmos	8856	3	1	0	0.8802	0.7850	0.8230	0.9310	0.9940
cosmos	8857	3	1	0	0.7780	0.7240	0.7510	0.8050	0.8250
cosmos	8858	3	1	0	2.0187	1.3370	1.5270	2.2720	2.3370
cosmos	8859	2	1	1	2.0132	1.9656	1.9953	2.0915	2.1277
cosmos	8860	3	1	0	2.8548	2.7020	2.7690	2.9420	3.0330
cosmos	8861	3	0	0	1.4494	1.4130	1.4200	1.4790	1.4920
cosmos	8862	3	1	0	3.3946	3.2740	3.3260	3.4640	3.5100
cosmos	8863	2	1	1	0.9060	0.8375	0.8871	0.9268	0.9432
cosmos	8864	2	0	1	0.9660	0.9590	0.9625	0.9693	0.9733
cosmos	8865	3	1	0	0.7276	0.5270	0.6200	0.8170	0.9050
cosmos	8866	3	1	0	0.2550	0.2240	0.2390	0.6810	0.7320
cosmos	8867	3	1	0	1.4241	1.1960	1.2850	1.5520	1.9290
cosmos	8868	3	1	0	5.3806	5.2150	5.2840	5.4810	5.5300
cosmos	8869	3	1	0	2.7662	2.5630	2.6560	2.8730	2.9260
cosmos	8870	3	0	0	0.5609	0.5310	0.5440	0.5830	0.5880
cosmos	8871	3	1	0	0.3041	0.2780	0.2860	0.3260	2.9370
cosmos	8872	2	1	1	0.7995	0.7913	0.7953	0.8035	0.8096
cosmos	8873	2	1	1	0.7246	0.7188	0.7213	0.7263	0.7287
cosmos	8874	3	1	0	0.6878	0.6390	0.6540	0.7220	0.7390
cosmos	8875	3	1	0	1.2322	1.1140	1.1600	1.2920	1.3390
cosmos	8876	3	1	0	0.4379	0.2900	0.3510	0.5250	0.5640
cosmos	8877	3	1	0	0.8677	0.7280	0.7810	0.9650	1.0350
cosmos	8878	3	1	0	3.0247	2.9450	2.9760	3.0760	3.0880
cosmos	8879	2	1	1	0.6862	0.6839	0.6851	0.6872	0.6884
cosmos	8880	3	1	0	1.2631	1.0400	1.1720	1.3520	1.4800
cosmos	8881	3	1	0	1.3772	1.0370	1.1230	1.1850	1.1890
cosmos	8882	3	1	0	0.5970	0.4830	0.5130	0.6250	1.0750
cosmos	8883	3	1	0	2.1567	1.2500	1.7970	2.4950	2.6220
cosmos	8884	3	1	0	1.4934	1.3650	1.4130	1.5860	1.6550
cosmos	8885	3	1	0	3.9455	3.6060	3.8090	4.0860	4.1800
cosmos	8886	3	1	0	0.9070	0.8220	0.8650	0.9540	0.9950
cosmos	8887	3	1	0	1.1088	0.9050	1.0440	1.1760	1.2780
cosmos	8888	3	1	0	2.7297	2.5710	2.6480	2.8220	2.8900
cosmos	8889	3	1	0	0.4401	0.1700	0.4130	3.0660	3.2190
cosmos	8890	3	1	0	5.6657	5.4320	5.5420	5.7890	5.8880
cosmos	8891	3	1	0	1.1443	1.0210	1.0790	1.2160	1.2710
cosmos	8892	3	1	0	3.0631	2.9510	3.0080	3.1220	3.1620
cosmos	8893	3	1	0	1.8479	1.2740	1.4530	2.2200	2.4200
cosmos	8894	3	1	0	0.7771	0.6750	0.7150	0.8380	0.9510
cosmos	8895	3	1	0	0.7108	0.3040	0.5510	0.8870	0.9930
cosmos	8896	3	1	0	1.1138	0.0790	0.8860	1.3240	1.4400
cosmos	8897	3	1	0	1.4235	1.2120	1.2790	1.6080	1.6970
cosmos	8898	3	1	0	1.9033	1.7680	1.8260	1.9830	2.0290
cosmos	8899	3	1	0	1.6422	1.2560	1.4060	1.8860	2.1330
cosmos	8900	3	1	0	2.4917	2.3180	2.3950	2.5850	2.7840
cosmos	8901	3	1	0	1.0402	0.5670	0.8200	1.2500	1.4260
cosmos	8902	3	1	0	0.8154	0.7160	0.7510	0.8770	0.9370
cosmos	8903	2	1	1	0.9242	0.8358	0.8780	0.9293	0.9456
cosmos	8904	3	0	0	1.6213	1.5640	1.5870	1.6580	1.6850
cosmos	8905	3	0	0	2.3298	1.3110	1.4170	2.4210	2.5090
cosmos	8906	3	1	0	0.5912	0.4400	0.5070	0.6650	0.7340
cosmos	8907	3	1	0	4.2854	4.0190	4.1100	4.5140	4.6120
cosmos	8908	2	1	1	2.8516	2.8327	2.8426	2.8544	2.8611
cosmos	8909	3	1	0	2.6414	0.2190	2.5630	2.7090	2.7380
cosmos	8910	3	1	0	0.6554	0.5360	0.5760	0.7400	0.9120
cosmos	8911	3	0	0	1.6075	1.4410	1.5660	1.6570	1.6890
cosmos	8912	3	1	0	1.4153	1.0180	1.2140	1.6430	2.0140
cosmos	8913	3	1	0	2.6384	2.3980	2.5290	2.7510	2.8310
cosmos	8914	3	0	0	0.0422	0.0110	0.0150	0.0710	0.0890
cosmos	8915	3	1	0	1.7241	1.2860	1.4500	2.0200	2.4100
cosmos	8916	3	1	0	0.7149	0.5490	0.6210	0.7830	1.1250
cosmos	8917	3	1	0	3.2581	3.1190	3.1780	3.3360	3.3950
cosmos	8918	3	1	0	1.6727	1.3240	1.4870	1.8690	2.1130
cosmos	8919	3	1	0	2.0903	1.9320	2.0200	2.1640	2.2030
cosmos	8920	3	1	0	1.4317	1.2470	1.3160	1.5510	1.7490
cosmos	8921	3	0	0	0.0619	0.0460	0.0490	0.0750	0.0770
cosmos	8922	3	1	0	3.2381	3.1230	3.1710	3.3100	3.3370
cosmos	8923	3	0	0	0.5445	0.5010	0.5180	0.5700	0.5850
cosmos	8924	3	1	0	1.7317	1.4370	1.5790	1.8940	2.0600
cosmos	8925	3	1	0	1.2865	1.1290	1.1830	1.3890	1.5240
cosmos	8926	2	1	1	1.0886	1.0848	1.0863	1.0896	1.0916
cosmos	8927	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	8928	2	1	1	2.0926	2.0865	2.0892	2.0950	2.0972
cosmos	8929	3	1	0	1.3115	0.8410	1.1600	1.4890	1.6040
cosmos	8930	3	1	0	0.0478	0.0110	0.0160	0.0800	0.1310
cosmos	8931	3	1	0	0.9699	0.9210	0.9400	1.0000	1.0260
cosmos	8932	3	1	0	1.5022	1.2620	1.3500	1.6260	2.0460
cosmos	8933	3	1	0	3.1295	2.9210	3.0140	3.2430	3.3080
cosmos	8934	3	1	0	0.2425	0.0530	0.1620	0.3290	0.4430
cosmos	8935	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	8936	3	1	0	1.1631	0.7150	0.8260	1.6160	1.7130
cosmos	8937	3	1	0	1.4462	1.2830	1.3590	1.5220	1.6320
cosmos	8938	3	1	0	1.5492	0.0180	0.1970	1.5800	1.6320
cosmos	8939	3	0	0	0.0100	0.0100	0.0110	0.0240	0.0250
cosmos	8940	3	1	0	1.6036	1.3170	1.3690	2.1020	2.2790
cosmos	8941	2	1	1	1.4315	1.3364	1.3830	1.4605	1.5007
cosmos	8942	3	1	0	0.1166	0.0460	0.0930	0.1410	0.1720
cosmos	8943	3	1	0	2.6661	0.4480	1.1060	3.5300	4.2190
cosmos	8944	3	1	0	0.8966	0.0520	0.0930	0.9550	1.0410
cosmos	8945	3	1	0	0.6733	0.6260	0.6480	0.6990	0.7160
cosmos	8946	3	1	0	2.0569	2.0940	2.1230	2.3160	2.5220
cosmos	8947	3	1	0	1.6592	1.3790	1.4950	1.7790	1.8460
cosmos	8948	3	0	0	0.0100	0.0100	0.0110	0.0290	0.0350
cosmos	8949	3	1	0	1.5182	0.7700	1.2620	1.8280	2.4850
cosmos	8950	3	1	0	1.8139	1.5040	1.6890	1.9570	2.0650
cosmos	8951	3	1	0	0.3653	0.0780	0.1860	0.5560	0.7670
cosmos	8952	3	1	0	1.7161	1.3010	1.4760	1.9880	2.2130
cosmos	8953	3	1	0	0.5198	0.4620	0.4830	0.5570	0.5890
cosmos	8954	3	1	0	1.4832	1.3310	1.3930	1.5910	1.6640
cosmos	8955	3	1	0	3.3928	3.2410	3.3100	3.4740	3.5140
cosmos	8956	3	1	0	1.2230	0.6990	0.9810	1.4240	1.5390
cosmos	8957	3	1	0	1.3529	1.1160	1.2450	1.4750	1.5890
cosmos	8958	2	1	1	1.3679	1.3585	1.3621	1.3696	1.3733
cosmos	8959	3	1	0	0.6809	0.6200	0.6430	0.7150	0.7760
cosmos	8960	3	1	0	2.6583	2.5500	2.6020	2.7180	2.7470
cosmos	8961	3	1	0	2.1182	1.7190	1.8390	2.6540	2.9210
cosmos	8962	3	1	0	1.2224	1.1740	1.1920	1.2520	1.2700
cosmos	8963	3	1	0	1.5700	1.3550	1.4380	1.7050	1.8090
cosmos	8964	3	1	0	1.6211	1.4450	1.5620	1.6860	1.7480
cosmos	8965	3	0	0	1.6200	1.5660	1.5890	1.6550	1.6640
cosmos	8966	3	1	0	1.4884	1.3380	1.4040	1.5760	1.6870
cosmos	8967	3	1	0	1.9323	1.7630	1.8430	2.0190	2.0790
cosmos	8968	3	1	0	0.3328	0.1460	0.1870	0.4640	0.6200
cosmos	8969	2	1	1	0.7246	0.6940	0.7102	0.7333	0.7461
cosmos	8970	3	0	0	0.6934	0.6630	0.6740	0.7150	0.7200
cosmos	8971	3	1	0	0.9081	0.7670	0.8510	0.9650	1.0060
cosmos	8972	3	1	0	2.2225	2.3600	2.3840	2.6300	2.7600
cosmos	8973	3	1	0	0.5070	0.4330	0.4590	0.5550	0.6020
cosmos	8974	3	1	0	0.9630	0.1140	0.9020	1.0140	1.1090
cosmos	8975	3	1	0	0.0100	0.0100	0.0110	0.0240	0.0250
cosmos	8976	3	1	0	1.3854	0.9180	1.0770	1.6160	1.6960
cosmos	8977	3	1	0	1.2594	1.0130	1.1910	1.3330	1.4510
cosmos	8978	3	0	0	2.9972	2.8990	2.9390	3.0570	3.0880
cosmos	8979	3	1	0	4.4971	4.2090	4.3730	4.6180	4.6980
cosmos	8980	3	1	0	1.7502	1.6920	1.7130	1.7900	1.8080
cosmos	8981	2	1	1	1.3338	1.3293	1.3319	1.3383	1.3417
cosmos	8982	3	1	0	0.0604	0.0400	0.0490	0.3150	0.3510
cosmos	8983	3	0	0	4.0875	3.3870	3.7970	4.2790	4.3470
cosmos	8984	3	1	0	2.3429	2.4920	2.5160	2.7560	2.8740
cosmos	8985	3	1	0	0.8595	0.7360	0.7810	0.9490	0.9920
cosmos	8986	3	1	0	0.4210	0.3020	0.3850	0.4580	0.5430
cosmos	8987	3	1	0	1.7540	1.4710	1.5730	2.0290	2.2570
cosmos	8988	3	1	0	2.4138	2.0350	2.1570	2.6420	2.7980
cosmos	8989	3	1	0	2.6616	2.4930	2.5560	2.7610	2.8320
cosmos	8990	3	1	0	1.9666	1.1870	1.4680	2.4200	2.6860
cosmos	8991	3	0	0	0.7596	0.5530	0.6730	0.8560	0.9320
cosmos	8992	3	1	0	3.1973	3.0940	3.1350	3.2630	3.3290
cosmos	8993	3	1	0	1.1311	1.0710	1.0940	1.1620	1.2360
cosmos	8994	3	1	0	0.8262	0.5190	0.7560	0.9430	0.9890
cosmos	8995	3	1	0	1.4993	1.2600	1.3690	1.6340	1.7500
cosmos	8996	3	1	0	0.0762	0.0140	0.0310	0.1420	1.9890
cosmos	8997	3	1	0	1.5412	1.2150	1.3220	1.8040	2.2010
cosmos	8998	3	1	0	2.0676	2.0270	2.0520	2.2660	2.3810
cosmos	8999	3	1	0	3.0242	2.9400	2.9760	3.0800	3.1170
cosmos	9000	3	1	0	0.9018	0.7750	0.8440	0.9560	1.0090
cosmos	9001	3	1	0	3.2982	3.1810	3.2270	3.3710	3.4190
cosmos	9002	3	1	0	2.4317	2.3550	2.3910	2.4760	2.4950
cosmos	9003	2	1	1	1.2034	1.1950	1.1982	1.2043	1.2067
cosmos	9004	3	1	0	0.7360	0.7040	0.7110	0.7610	0.7810
cosmos	9005	3	1	0	1.5830	1.2520	1.4170	1.7350	1.9630
cosmos	9006	3	0	0	0.0623	0.0460	0.0490	0.0750	0.0860
cosmos	9007	3	1	0	1.5448	1.2810	1.4090	1.6560	1.7390
cosmos	9008	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	9009	3	1	0	1.2957	0.9470	1.0260	1.1560	1.2050
cosmos	9010	3	1	0	2.4466	2.3570	2.3940	2.5010	2.5310
cosmos	9011	3	1	0	0.3920	0.3590	0.3720	0.4110	0.4230
cosmos	9012	3	1	0	1.5617	1.3640	1.4550	1.6520	1.7130
cosmos	9013	3	0	0	1.6161	1.5640	1.5840	1.6520	1.6630
cosmos	9014	3	1	0	1.9406	1.7140	1.8010	2.0730	2.1780
cosmos	9015	3	1	0	2.5426	2.2520	2.4200	2.6540	2.7290
cosmos	9016	3	1	0	1.2234	0.1560	1.1030	1.4110	1.6220
cosmos	9017	3	1	0	0.1861	0.1550	0.1680	0.2030	0.2280
cosmos	9018	3	1	0	0.2723	0.2400	0.2530	0.2920	0.3000
cosmos	9019	3	1	0	1.7036	1.1210	1.3340	2.0460	2.3110
cosmos	9020	3	1	0	0.7999	0.7270	0.7620	0.8370	0.8590
cosmos	9021	3	1	0	3.4566	3.3030	3.3690	3.5480	3.6050
cosmos	9022	3	1	0	0.4825	0.4270	0.4460	0.5200	0.5880
cosmos	9023	3	1	0	1.6806	1.1140	1.3260	2.0460	2.3690
cosmos	9024	3	1	0	1.6388	1.5630	1.5910	1.6890	1.7380
cosmos	9025	3	1	0	1.5152	0.0930	0.1060	0.1530	1.3760
cosmos	9026	3	1	0	0.0408	0.0120	0.0190	0.0610	0.1200
cosmos	9027	3	1	0	1.6317	1.3950	1.5070	1.7410	2.0040
cosmos	9028	3	1	0	3.4420	3.3520	3.3900	3.5000	3.5140
cosmos	9029	3	1	0	1.1793	0.9560	1.0670	1.2710	1.4450
cosmos	9030	3	1	0	0.8743	0.5970	0.7610	1.0100	1.0910
cosmos	9031	1	1	1	0.4922	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	9032	3	1	0	1.1250	0.9790	1.0580	1.1920	1.2550
cosmos	9033	3	1	0	0.3536	0.2830	0.3170	0.3900	0.4180
cosmos	9034	3	1	0	1.9483	1.7650	1.8560	2.0280	2.0690
cosmos	9035	3	1	0	1.9426	0.8640	1.5320	2.3080	2.6070
cosmos	9036	3	1	0	0.7061	0.2820	0.4770	0.9460	1.1550
cosmos	9037	3	1	0	1.2658	1.0580	1.1500	1.3840	1.5880
cosmos	9038	3	1	0	0.6926	0.5950	0.6390	0.7470	0.8090
cosmos	9039	3	1	0	2.5947	2.4630	2.5420	2.6530	2.6870
cosmos	9040	3	1	0	3.4112	3.3420	3.3580	3.4690	3.5080
cosmos	9041	2	1	1	0.7289	0.7255	0.7271	0.7297	0.7310
cosmos	9042	3	1	0	2.6662	2.5650	2.6020	2.7310	2.7720
cosmos	9043	3	1	0	4.0955	3.9620	4.0160	4.1760	4.2310
cosmos	9044	2	1	1	2.2043	2.1935	2.1990	2.2103	2.2975
cosmos	9045	3	1	0	0.5598	0.5040	0.5300	0.5910	0.6120
cosmos	9046	3	1	0	0.7470	0.7060	0.7220	0.7720	0.7890
cosmos	9047	3	1	0	1.6434	1.5740	1.5990	1.6870	1.7230
cosmos	9048	3	1	0	1.0223	0.9770	0.9990	1.0500	1.0570
cosmos	9049	3	1	0	2.1049	1.3180	1.8480	2.3220	2.4410
cosmos	9050	3	1	0	1.9020	1.3260	1.5390	2.2440	2.4080
cosmos	9051	0	0	0	-1.0000	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	9052	3	1	0	0.7230	0.3550	0.4590	0.9480	1.1230
cosmos	9053	3	0	0	0.7917	0.7120	0.7590	0.8280	0.8550
cosmos	9054	3	1	0	1.7875	1.4020	1.5800	1.9700	2.1920
cosmos	9055	3	1	0	1.4927	1.2480	1.3680	1.6270	1.6870
cosmos	9056	2	0	1	0.2245	0.2040	0.2146	0.2290	0.2375
cosmos	9057	1	1	1	0.3600	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	9058	3	1	0	2.6025	2.3290	2.4370	2.7740	2.8700
cosmos	9059	3	1	0	1.3605	1.0530	1.1800	1.3490	1.3710
cosmos	9060	3	1	0	2.1423	1.3940	1.8010	2.6340	2.8960
cosmos	9061	3	1	0	0.2417	0.0400	0.0870	0.3790	0.4700
cosmos	9062	3	0	0	1.6254	1.5500	1.5880	1.6640	1.6910
cosmos	9063	3	1	0	1.2981	0.7990	1.1020	1.5040	1.8860
cosmos	9064	3	1	0	1.9648	1.7460	1.8660	2.0520	2.1110
cosmos	9065	3	1	0	0.7474	0.7090	0.7240	0.7700	0.7870
cosmos	9066	3	1	0	1.2311	1.1020	1.1680	1.2900	1.3220
cosmos	9067	3	1	0	1.2394	0.3000	0.7490	1.1130	1.1390
cosmos	9068	3	1	0	1.4117	1.1810	1.2780	1.5060	1.5770
cosmos	9069	2	1	1	0.7194	0.6791	0.7010	0.7312	0.7631
cosmos	9070	3	1	0	0.3545	0.2070	0.2880	0.4100	0.5160
cosmos	9071	3	1	0	0.7331	0.6810	0.7030	0.7650	0.7890
cosmos	9072	3	1	0	0.8659	0.8280	0.8440	0.8910	0.8990
cosmos	9073	3	1	0	0.2183	0.1970	0.2050	0.2340	0.2380
cosmos	9074	3	1	0	1.6159	1.2780	1.4150	1.7670	1.8710
cosmos	9075	2	1	1	0.9155	0.8622	0.8739	0.9183	0.9253
cosmos	9076	3	1	0	1.1573	0.7100	0.9630	1.3090	1.4700
cosmos	9077	3	1	0	0.2296	0.1910	0.2010	0.2770	0.3150
cosmos	9078	3	1	0	3.0940	0.1790	0.2910	3.1750	3.2940
cosmos	9079	3	1	0	2.0962	1.7500	1.9420	2.2510	2.3430
cosmos	9080	3	1	0	1.3262	1.1410	1.2510	1.4110	1.4590
cosmos	9081	2	1	1	1.0886	1.0849	1.0863	1.0892	1.0905
cosmos	9082	3	1	0	5.4177	0.9030	5.2770	5.5480	5.6410
cosmos	9083	3	1	0	3.7171	3.5460	3.6110	3.8620	3.9310
cosmos	9084	2	1	1	0.6331	0.5974	0.6129	0.6426	0.6618
cosmos	9085	3	1	0	0.2516	0.2150	0.2340	2.6420	2.7340
cosmos	9086	2	1	1	0.9261	0.9230	0.9244	0.9273	0.9289
cosmos	9087	3	1	0	3.1464	2.9930	3.0600	3.2340	3.3360
cosmos	9088	3	1	0	2.9480	2.8520	2.8930	3.0040	3.0420
cosmos	9089	3	1	0	1.2689	1.2130	1.2360	1.3020	1.3180
cosmos	9090	3	1	0	0.6985	0.6560	0.6720	0.7250	0.7490
cosmos	9091	3	1	0	1.5152	0.6860	1.3210	1.7600	2.0370
cosmos	9092	2	1	1	2.0679	1.9432	2.0043	2.0701	2.0830
cosmos	9093	3	1	0	3.0077	2.4810	2.7980	3.2220	3.4400
cosmos	9094	3	1	0	2.3061	2.0840	2.2020	2.4120	2.5220
cosmos	9095	3	0	0	1.1620	1.1200	1.1320	1.1930	1.2040
cosmos	9096	3	1	0	3.2554	0.3270	3.1870	3.3190	3.3410
cosmos	9097	3	1	0	0.9323	0.8510	0.8840	0.9860	1.0340
cosmos	9098	3	0	0	0.0158	0.0100	0.0110	0.0300	0.0350
cosmos	9099	3	1	0	1.3784	0.8800	1.0450	1.7850	1.9570
cosmos	9100	3	0	0	2.4167	2.1990	2.3260	2.5090	2.5890
cosmos	9101	3	1	0	2.5807	2.2420	2.4130	2.7520	2.8300
cosmos	9102	3	1	0	0.1145	0.0130	0.0260	0.2200	0.2430
cosmos	9103	3	1	0	2.2221	2.0180	2.1580	2.2960	2.3430
cosmos	9104	2	1	1	0.7437	0.7387	0.7412	0.7457	0.7478
cosmos	9105	3	1	0	2.8770	2.7800	2.8200	2.9370	2.9650
cosmos	9106	3	1	0	2.3848	2.2610	2.3250	2.4450	2.4990
cosmos	9107	3	1	0	3.8448	3.7050	3.7590	3.9320	3.9940
cosmos	9108	3	1	0	1.0113	0.9720	0.9860	1.0500	4.4730
cosmos	9109	3	1	0	0.9629	0.9020	0.9320	0.9960	1.0200
cosmos	9110	2	1	1	0.4162	0.3929	0.4001	0.4221	0.4301
cosmos	9111	2	1	1	1.2200	1.2134	1.2164	1.2215	1.2232
cosmos	9112	3	1	0	1.1911	0.7610	1.0690	1.3090	1.4480
cosmos	9113	3	1	0	4.4572	0.7860	4.0460	4.7940	5.1070
cosmos	9114	3	1	0	1.3514	0.3690	0.9100	1.2910	1.3420
cosmos	9115	3	1	0	1.2980	1.2520	1.2640	1.3330	1.3580
cosmos	9116	3	1	0	0.5492	0.4590	0.5170	0.5900	0.6250
cosmos	9117	3	1	0	1.4761	1.0460	1.2620	1.5360	1.5810
cosmos	9118	3	1	0	1.2315	0.7400	0.9330	1.4790	1.6360
cosmos	9119	3	1	0	3.0948	2.9950	3.0370	3.1550	3.1900
cosmos	9120	3	1	0	0.6687	0.6120	0.6400	0.6990	0.7200
cosmos	9121	3	1	0	1.7829	1.1540	1.4980	2.0460	2.2550
cosmos	9122	3	1	0	0.9723	0.9340	0.9450	0.9970	1.0140
cosmos	9123	3	1	0	0.9189	0.7230	0.7890	1.0030	1.1930
cosmos	9124	3	1	0	1.0061	0.7340	0.9270	1.1250	1.2890
cosmos	9125	3	1	0	1.0018	0.8790	0.9470	1.0580	1.0960
cosmos	9126	3	1	0	0.3125	0.0450	0.0810	0.2640	0.3000
cosmos	9127	3	1	0	5.8715	5.7810	5.8370	5.9540	5.9600
cosmos	9128	3	1	0	1.4463	1.2660	1.3590	1.5430	1.6400
cosmos	9129	3	1	0	0.7195	0.2550	0.5510	0.8740	0.9700
cosmos	9130	3	1	0	1.5191	1.0010	1.3550	1.6600	1.7230
cosmos	9131	3	1	0	1.9113	1.6720	1.8250	2.0140	2.0960
cosmos	9132	3	1	0	1.0406	0.2150	0.5140	1.0830	1.1560
cosmos	9133	3	1	0	1.5853	1.3730	1.4690	1.7160	1.9200
cosmos	9134	3	1	0	0.7513	0.7060	0.7240	0.7800	0.7910
cosmos	9135	2	1	1	0.8776	0.8713	0.8738	0.8793	0.8821
cosmos	9136	3	0	0	1.6309	1.5870	1.5960	1.6630	1.6870
cosmos	9137	3	1	0	2.9319	2.5400	2.7520	3.1100	3.2480
cosmos	9138	3	1	0	1.4560	0.5000	1.2280	1.6930	1.9650
cosmos	9139	3	0	0	1.5908	1.1860	1.4280	1.7440	1.9430
cosmos	9140	3	1	0	5.8639	5.7830	5.8520	5.9540	5.9600
cosmos	9141	3	1	0	0.9052	0.8600	0.8830	0.9320	0.9420
cosmos	9142	3	1	0	4.4265	4.2670	4.3380	4.5170	4.5800
cosmos	9143	3	1	0	1.0430	0.1420	0.2110	1.1550	2.1040
cosmos	9144	3	1	0	3.5769	3.4130	3.4760	3.6810	3.7460
cosmos	9145	3	1	0	0.1697	0.0470	0.0970	0.2090	0.3510
cosmos	9146	3	0	0	0.0206	0.0100	0.0120	0.0330	0.0430
cosmos	9147	3	1	0	1.5327	1.3540	1.4510	1.6080	1.7380
cosmos	9148	2	1	1	1.3977	1.3430	1.3731	1.4175	1.4428
cosmos	9149	3	0	0	1.5070	1.3420	1.4080	1.6150	1.6610
cosmos	9150	3	1	0	2.9792	2.7800	2.8670	3.0890	3.1560
cosmos	9151	2	1	1	2.0648	1.8482	2.0092	2.0682	2.0892
cosmos	9152	3	1	0	0.2968	0.0880	0.2780	0.3170	0.3310
cosmos	9153	3	1	0	1.2568	0.9280	1.0350	2.0290	5.5180
cosmos	9154	3	1	0	4.6635	4.5050	4.5700	4.7640	4.8420
cosmos	9155	3	1	0	4.2936	4.3910	4.4720	4.8460	5.0350
cosmos	9156	2	1	1	0.9406	0.9377	0.9389	0.9416	0.9428
cosmos	9157	3	1	0	0.1910	0.0690	0.1290	0.2610	0.2990
cosmos	9158	3	1	0	1.2121	1.0520	1.1180	1.2980	1.3970
cosmos	9159	3	1	0	1.2839	1.2500	1.2570	1.3120	1.3180
cosmos	9160	1	0	1	0.7503	-1.0000	-1.0000	-1.0000	-1.0000
cosmos	9161	3	1	0	0.1849	0.1180	0.1540	0.2150	0.2910
cosmos	9162	3	1	0	1.0345	0.7670	0.8350	1.2040	1.2700
cosmos	9163	3	1	0	1.1250	0.0720	0.2110	0.6850	0.7330
